TRMC (台灣區預拌混凝土工業同業公會) 會員名錄 — 全 22 頁
共 421 筆
========================================================

12. 彰鹿預拌混凝土股份有限公司 | 彰化縣福興鄉沿海路五段236-40號
13. 元成預拌混凝土股份有限公司 | 彰化縣福興鄉彰鹿路七段558巷78號
14. 帝通企業股份有限公司 | 彰化縣線西鄉寓埔村彰濱西三路2號
15. 樺勝環保事業股份有限公司二廠 | 彰化縣線西鄉溝內村 彰濱西一路5號
16. 全興環保有限公司二廠 | 彰化縣線西鄉溝內村彰濱西一路15號
17. 幸峰混凝土有限公司 | 彰化縣線西鄉彰濱東二路16號
18. 元太和石業股份有限公司 | 南投縣仁愛鄉大同村6鄰信義巷36附6號
19. 義友實業股份有限公司 | 南投縣水里鄉郡坑村水信路二段163巷1號
20. 順益砂石行 | 553 南投縣水里鄉郡坑村水信路二段177號

--- Page 11 (20 筆) ---
1. 金磊企業有限公司南投廠 | 南投縣名間鄉南雲路15巷60號
2. 新旭台實業股份有限公司 | 南投縣名間鄉彰南路353號
3. 益昌砂石企業股份有限公司 | 南投縣竹山鎮中和里前山路二段398號
4. 卡登企業有限公司 | 南投縣竹山鎮保甲路235之1號
5. 聖宏邦企業股份有限公司 | 南投縣竹山鎮集山路一段10巷99號
6. 泰富預拌混凝土股份有限公司 | 南投縣南投市千秋里千秋路375號
7. 義展實業股份有限公司 | 南投縣埔里鎮南環路899巷97號
8. 元太和石業股份有限公司 | 南投縣埔里鎮珠格里11鄰隆生巷63號
9. 興埔里企業股份有限公司 | 南投縣埔里鎮溪南里溪南巷25號
10. 福盈建材股份有限公司第二廠 | 南投縣草屯鎮土城里中正路129之2號
11. 興威股份有限公司草屯廠 | 南投縣草屯鎮草溪路73號
12. 源和興有限公司草屯廠 | 南投縣草屯鎮碧興路二段22號
13. 賜泰預拌混凝土股份有限公司 | 南投縣國姓鄉乾溝村中西巷5-16號
14. 泫懋企業有限公司 | 南投縣集集鎮和平里成功路2號
15. 鳳勝實業股份有限公司西螺廠 | 雲林縣二崙鄉油車村山子門41號
16. 國地水泥工業股份有限公司 | 雲林縣土庫鎮民族路6-13號
17. 信榮水泥工業有限公司 | 雲林縣大埤鄉尚義村4-1號
18. 琩育預拌混凝土股份有限公司 | 雲林縣斗六市石榴路369巷101號
19. 盛記預拌混凝土有限公司 | 雲林縣斗六市石寮路2之12號
20. 京川企業有限公司 | 雲林縣斗六市科工一路2-2號

--- Page 12 (20 筆) ---
1. 德欣先進股份有限公司 | 雲林縣斗六市萬年路700號
2. 華威德實業股份有限公司 | 雲林縣斗六市榴南里斗工九路3號
3. 國產建材實業股份有限公司斗南廠 | 雲林縣斗南鎮公論路23號
4. 冠林砂石行 | 雲林縣斗南鎮東明里成功路1之20號
5. 元發混凝土股份有限公司 | 雲林縣水林鄉外環路858號
6. 富鴻水泥工業有限公司 | 雲林縣北港鎮新街里民樂路242號
7. 國薪窯業有限公司 | 雲林縣台西鄉牛厝村成功路171號
8. 連成預拌水泥工業有限公司 | 雲林縣東勢鄉四美村保安林6-1號
9. 慧海砂石有限公司 | 雲林縣林內鄉坪頂村清水溪56號
10. 元金砂礫股份有限公司 | 雲林縣林內鄉林北村新光路一號
11. 建泰建材有限公司 | 雲林縣虎尾鎮光明路73巷3-1號
12. 楠峰實業股份有限公司 | 雲林縣虎尾鎮惠來里145-10號
13. 宏洋預拌混凝土股份有限公司 | 雲林縣麥寮鄉西濱路2 段 260 號
14. 宇盛國際土石方資源堆置處理場 | 雲林縣麥寮鄉海豐村忠和10-10號
15. 寓源機械開發有限公司 | 雲林縣麥寮鄉麥豐村西濱路二段155號
16. 百原實業有限公司 | 雲林縣麥寮鄉興化寮23-23號
17. 順利企業社 | 雲林縣褒忠鄉中民村中正路14-12號
18. 益邦企業社 | 雲林縣褒忠鄉中民村中正路22之18號
19. 泉溢開發有限公司嘉義廠 | 嘉義市西區西平里博愛路二段953號
20. 泉豐碎石廠股份有限公司 | 嘉義縣中埔鄉富收村頂中下街105號

--- Page 13 (20 筆) ---
1. 裕民企業行 | 嘉義縣中埔鄉裕民村水仔尾25之6號
2. 鳳勝實業股份有限公司嘉泰廠 | 嘉義縣太保市北港路二段105巷45號
3. 國產建材實業股份有限公司嘉太廠 | 嘉義縣太保市北港路二段九十一號
4. 福豐預拌混凝土廠 | 嘉義縣水上鄉大堀村大堀尾12-8號
5. 承慶企業股份有限公司 | 嘉義縣水上鄉義興村10鄰中義路150號
6. 煜昌工業股份有限公司 | 嘉義縣布袋鎮光復里太平東路21巷1號
7. 煜昌預拌混凝土有限公司 | 嘉義縣布袋鎮見龍里太平東路108號
8. 任建企業股份有限公司 | 嘉義縣民雄鄉大崎村頂埤仔1之1號
9. 台灣水泥(股)有限公司高雄水泥製品廠嘉義分廠 | 嘉義縣民雄鄉北斗村新生街8號
10. 泉溢開發有限公司朴子廠 | 嘉義縣朴子市朴子工業區三街57.57之1號
11. 鳳勝實業股份有限公司朴子廠 | 嘉義縣朴子市竹村里朴子工業區一街16號
12. 泰昌預拌混凝土股份有限公司 | 嘉義縣梅山鄉工業一路45號
13. 合利興資源再生股份有限公司 | 嘉義縣梅山鄉梅北村14鄰工業一路37號
14. 森詠砂石有限公司 | 嘉義縣梅山鄉梅北村工業一路26號
15. 宏益達建材企業有限公司梅山廠 | 嘉義縣梅山鄉梅北村工業一路38-6號
16. 鴻石綠資源科技有限公司 | 嘉義縣番路鄉新福村大庄29之8號
17. 掌石企業股份有限公司 | 嘉義縣番路鄉新福村大庄34-1號
18. 嘉崑實業有限公司 | 嘉義縣番路鄉新福村大庄34之6號
19. 釩堯股份有限公司新港廠 | 嘉義縣新港鄉月眉潭230之191號
20. 金豐盛開發有限公司新港廠 | 嘉義縣新港鄉福德村9鄰福德路227號

--- Page 14 (20 筆) ---
1. 全興資源再生股份有限公司 | 台南市山上區明和村北勢洲21之1號
2. 台灣水泥(股)有限公司高雄水泥製品廠台南分廠 | 台南市仁德區一甲村太乙七街36號
3. 德隆永續科技股份有限公司 | 台南市仁德區中正路三段651號
4. 順德富實業有限公司預拌混凝土廠 | 台南市仁德區文賢路二段63號
5. 鳳勝實業股份有限公司仁德廠 | 台南市仁德區新田村勝利路227號
6. 太固實業股份有限公司 | 台南市仁德區新田村義林路70號
7. 國產建材實業股份有限公司仁德廠 | 台南市仁德區新田里義林路138號
8. 浩群實業股份有限公司六甲廠 | 台南市六甲區中社里林鳳營231之3號
9. 豐翊工程有限公司 | 台南市永康區三民里和平東路170號
10. 亞東預拌混凝土股份有限公司永康廠 | 台南市永康區三民里和平東路58號
11. 環球水泥股份有限公司永康預拌混凝土場 | 台南市永康區王行里興工路20號
12. 國產建材實業股份有限公司台南廠 | 台南市永康區鹽洲里洲尾街62號
13. 丁丁有限公司預拌混凝土廠 | 台南市玉井區工業街266號
14. 宏源預拌混凝土有限公司 | 台南市玉井區竹圍里工業街52號
15. 佑昇水泥製品股份有限公司 | 台南市白河區中山路2-78號
16. 竑榮實業股份有限公司安定廠 | 台南市安定區中榮里許中營24之11.之12號
17. 環統混凝土股份有限公司 | 台南市安南區安和路2段54巷115號
18. 欣龍實業股份有限公司佳里廠 | 台南市佳里區六安里六安117-33號
19. 竑榮實業股份有限公司 | 台南市官田區工業南路20號
20. 贊洲實業有限公司 | 台南市東山區東正里東勢1之28號

--- Page 15 (20 筆) ---
1. 亞東預拌混凝土股份有限公司台南廠 | 台南市南區新平路27號
2. 環球水泥股份有限公司台南預拌混凝土場 | 台南市南區彰南里中華西路一段59號
3. 台灣水泥(股)有限公司高雄水泥製品廠安平分廠 | 台南市南區彰南里新樂路84-2號
4. 盈全企業股份有限公司 | 台南市後壁區頂安里頂寮118號
5. 更新實業股份有限公司 | 台南市麻豆區麻口里麻柚路343號
6. 環球水泥股份有限公司麻豆預拌混凝土場 | 台南市麻豆區麻工一路377號
7. 豐旗實業股份有限公司 | 台南市麻豆區麻佳路一段688號
8. 瀅寶企業有限公司善化廠 | 台南市善化區小新里324號
9. 國產建材實業股份有限公司新市廠 | 台南市善化區小新里小新營461號
10. 台灣水泥(股)有限公司高雄水泥製品廠善化分廠 | 台南市善化區西關里興農路33號
11. 名人預拌混凝土股份有限公司 | 台南市新市區中山路183號
12. 鳳勝實業股份有限公司新營廠 | 台南市新營區東山路158號
13. 安筑混凝土有限公司 | 台南市新營區嘉芳里八德路三號B棟
14. 世洋綜合實業股份有限公司混凝土廠 | 台南市新營區興安里工業街93號
15. 玉楠混凝土企業股份有限公司楠西廠 | 台南市楠西區鹿田里鹿陶洋1號
16. 定益企業有限公司 | 台南市學甲區新達里大順路106號
17. 嘉豐建材有限公司 | 台南市學甲區新達里頂山寮61之3號
18. 福豐開發建設實業股份有限公司學甲廠 | 台南市學甲區新達里頂山寮61號
19. 金朝預拌混凝土股份有限公司學甲廠 | 台南市學甲區豐和里美豐125號之24號
20. 樺懋科技股份有限公司 | 台南市龍崎區楠坑里楠坑45號

--- Page 16 (20 筆) ---
1. 詠固混凝土有限公司 | 台南市歸仁區看東里成功路一段70號
2. 新晟水泥製品股份有限公司鹽水廠 | 台南市鹽水區汫水里溪洲寮四之三號
3. 竑榮實業股份有限公司高雄廠 | 高雄市大社區旗楠路80巷210、212號
4. 立竑預拌股份有限公司 | 高雄市大寮區大寮村華西路42號
5. 上順水泥製品企業股份有限公司 | 高雄市大寮區大寮里華東路40號
6. 環球水泥股份有限公司鳳山預拌混凝土場 | 高雄市大寮區中庄里鳳屏一路146號
7. 亞東預拌混凝土股份有限公司高雄廠 | 高雄市大寮區永芳里萬丹路372號
8. 豐禾預拌混凝土有限公司 | 高雄市大寮區光華路12-3號
9. 國產建材實業股份有限公司鳳山廠 | 高雄市大寮區江山村江山路81號
10. 吉鼎材料股份有限公司 | 高雄市大寮區新厝里鳳林一路慈惠巷3號
11. 大量建材股份有限公司 | 高雄市大寮區會結二路236號
12. 榮順混凝土有限公司 | 高雄市大寮區溪寮里河堤路一段1246號
13. 太爺企業股份有限公司大發廠 | 高雄市大寮區過溪村莒光二街10號
14. 石安水泥製品實業股份有限公司 | 高雄市大寮區鳳屏二路394巷42號
15. 台灣水泥(股)公司高雄水泥製品廠小港分廠 | 高雄市小港區中林路12號
16. 國產建材實業股份有限公司小港廠 | 高雄市小港區永春街11號
17. 大地亮環保服務股份有限公司 | 高雄市小港區店鎮里光陽街1之1號
18. 環球水泥股份有限公司小港預拌混凝土場 | 高雄市小港區沿海三路20號
19. 太爺企業股份有限公司 | 高雄市小港區臨海工業區永春街14號
20. 台灣水泥(股)公司高雄水泥製品廠仁武分廠 | 高雄市仁武區仁武村工業一路16號

--- Page 17 (20 筆) ---
1. 竑榮實業股份有限公司仁武廠 | 高雄市仁武區仁武里工業二路11號
2. 鳳勝實業股份有限公司仁武廠 | 高雄市仁武區竹後村鳳仁路294號
3. 國產建材實業股份有限公司仁武廠 | 高雄市仁武區竹後里竹工三巷59號
4. 鑫磊有限公司 | 高雄市仁武區竹後里竹東路88號
5. 東南高良資源再生股份有限公司 | 814 高雄市仁武區高楠公路95-1號
6. 天誠混凝土實業股份有限公司 | 高雄市仁武區高楠公路99-1號
7. 亞東預拌混凝土股份有限公司仁武廠 | 高雄市仁武區鳳仁路322號
8. 國產建材實業股份有限公司高雄廠 | 高雄市左營區民族一路930-1號
9. 信濃水泥製品實業有限公司 | 高雄市甲仙區新興路25號
10. 國產建材實業股份有限公司岡山廠 | 高雄市岡山區本洲路180號
11. 聯成預拌製品股份有限公司 | 高雄市岡山區新樂街120號
12. 燕角實業股份有限公司 | 高雄市岡山區嘉新東路2-15號
